frame,latency_ms
1,1.785301
2,1.715537
3,1.867355
4,1.844121
5,1.788405
6,1.753011
7,1.790133
8,1.719409
9,1.746803
10,1.753875
11,1.759188
12,1.793302
13,1.758868
14,1.781269
15,1.781557
16,1.784918
17,1.783701
18,1.76578
19,1.823831
20,1.722513
21,1.85529
22,1.771221
23,1.776052
24,1.757171
25,1.82092
26,1.740435
27,1.758323
28,1.76898
29,1.771252
30,1.781141
31,1.719889
32,1.904989
33,1.777684
34,1.826232
35,1.771316
36,1.75426
37,1.820536
38,1.746707
39,1.770644
40,1.724658
41,1.769428
42,1.701904
43,1.743155
44,1.707184
45,1.718544
46,1.774196
47,1.713712
48,1.735826
49,1.688207
50,1.778613
51,1.770068
52,1.754996
53,1.782133
54,1.704976
55,1.723314
56,1.713008
57,1.779797
58,1.756979
59,1.784501
60,1.755315
61,1.699407
62,1.811287
63,1.731249
64,1.773684
65,1.723346
66,1.786357
67,1.739378
68,1.70216
69,1.812215
70,1.709681
71,1.761556
72,1.715953
73,1.749779
74,1.721041
75,1.736531
76,1.789589
77,1.693007
78,1.801654
79,1.761107
80,1.798998
81,1.764276
82,1.810711
83,1.728178
84,1.7092
85,1.761619
86,1.709264
87,1.774293
88,1.692431
89,1.759412
90,1.710353
91,1.745011
92,1.727537
93,1.709713
94,1.815223
95,1.798326
96,1.747123
97,1.754355
98,1.743155
99,1.760884
100,1.715569
101,1.79231
102,1.70488
103,1.771829
104,1.738866
105,1.761108
106,1.718385
107,1.741394
108,1.776245
109,1.731122
110,1.777493
111,1.731122
112,1.802166
113,1.720273
114,1.785365
115,1.725777
116,1.809047
117,1.865051
118,1.773717
119,1.738866
120,1.684815
121,1.786358
122,1.783349
123,1.772084
124,1.753651
125,1.723121
126,1.771861
127,1.79647
128,1.792214
129,1.716561
130,1.80655
131,1.727185
132,1.809975
133,1.771861
134,1.723441
135,1.803159
136,1.747891
137,1.763956
138,1.728209
139,1.753235
140,1.752851
141,1.783893
142,1.759347
143,1.741011
144,1.774836
145,1.888828
146,1.796022
147,1.791318
148,1.818903
149,1.739826
150,1.796054
151,1.75762
152,1.74501
153,1.756275
154,1.733938
155,1.734002
156,1.751283
157,1.807286
158,1.732242
159,1.778837
160,1.731666
161,1.704464
162,1.773717
163,1.72677
164,1.848025
165,1.743315
166,1.754835
167,1.697872
168,1.76242
169,1.740818
170,1.699535
171,1.803958
172,1.76274
173,1.810327
174,1.749683
175,1.781941
176,1.704239
177,1.752819
178,1.814071
179,1.741203
180,1.756595
181,1.73301
182,1.776981
183,1.713393
184,1.758035
185,1.765363
186,1.738482
187,1.775637
188,1.716209
189,1.785941
190,1.714161
191,1.775285
192,1.746803
193,1.782133
194,1.782613
195,1.746867
196,1.813367
197,1.712144
198,1.785013
199,1.751443
200,1.762612
201,1.744722
202,1.720465
203,1.776532
204,1.728273
205,1.782549
206,1.690127
207,1.807479
208,1.718481
