time_s,loop,loop_dt_ms,inference_ms,state_tick,enabled,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788446248.0195062,1,32.057624999652035,9.904567999910796,10678418,1,0.0,0.0,0.0,-0.018113375,0.66796076,-1.3897647,0.03809657,0.6670365,-1.3914869,-0.040644974,0.6619688,-1.382198,0.034831762,0.65875936,-1.3901597,27.250172,32.07989,-43.874866,-5.48862,0.0,-0.05813286,0.016176099,0.03100419,-0.03100419,-0.044484273,0.011626571,-0.077510476,-0.028308174,-0.03100419,-0.011626571,-0.07279245,0.015502095,0.046506286,-0.05813286,0.054257333,-0.013271134,0.66082644,-1.2107297,-0.009528087,0.7691147,-1.2619011,0.035037182,0.7340659,-1.0964131,-0.028041054,0.72115463,-1.0982586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7312813,-0.06264232,0.14081882,-2.2522268,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.0354762,2,14.743511001142906,4.203554000923759,10678450,1,0.0,0.0,0.0,-0.018083096,0.6654477,-1.3897489,0.03797546,0.66431147,-1.3915342,-0.040856898,0.6593952,-1.3834776,0.034680367,0.6566702,-1.391692,27.250141,32.07989,-43.874805,-5.4886503,0.06200838,-0.13951886,-0.030330187,-0.06975943,-0.13951886,-0.020220125,0.011626571,-0.08526152,-0.012132075,-0.11626572,-0.05813286,-0.056616347,0.0038755238,0.054257333,0.015502095,0.0,-0.007545638,0.6348236,-1.2359878,0.0009757313,0.7588887,-1.2890545,0.027232854,0.7246594,-1.143338,-0.014759207,0.7034433,-1.1034977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4505594,-1.4231386,0.29038006,-3.6504765,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.0515947,3,10.479605000000447,4.015331000118749,10678472,1,0.0,0.0,0.0,-0.01902163,0.66136026,-1.3835249,0.037551574,0.6710028,-1.391155,-0.04003942,0.659698,-1.3745048,0.03452897,0.656216,-1.382356,27.251442,32.07977,-43.877922,-5.4984903,-0.0077510476,-0.40693003,0.36194023,-0.011626571,0.015502095,-0.028308174,-0.027128667,-0.14339438,0.3942924,0.011626571,-0.27128667,0.5661635,0.065883905,0.0038755238,-0.902997,-1.1859103,-0.013795244,0.60912406,-1.2423276,0.0051533976,0.75061584,-1.3061291,0.026036924,0.7093845,-1.1850739,-0.0069598593,0.6791972,-1.1390575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.794225,-2.5464911,-0.6680287,-5.240956,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.075474,4,14.267833001213148,5.9698770000977674,10678491,1,0.0,0.0,0.0,-0.0179317,0.6470995,-1.3811238,0.03749102,0.6713056,-1.3910129,-0.03925219,0.65748775,-1.372625,0.035497844,0.6560646,-1.3765585,27.266611,32.05991,-43.887432,-5.529434,0.023253143,-0.70534533,0.1941132,0.054257333,0.04263076,-0.0020220124,-0.027128667,-0.3720503,0.06268239,0.046506286,-0.15114543,0.2547736,1.1200264,-1.3796865,-0.5890796,-2.5733478,-0.0075425766,0.61172026,-1.2540016,0.014264973,0.7687442,-1.2785143,0.021869117,0.7166233,-1.1825262,-0.013479656,0.7057971,-1.1754608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7155173,-4.1831665,-0.03963245,-6.437047,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.0947342,5,13.456287000735756,5.9152530011488125,10678511,1,0.0,0.0,0.0,-0.01905191,0.6350188,-1.375042,0.03688547,0.6731828,-1.3911077,-0.03788972,0.65364254,-1.3670329,0.035861194,0.6559738,-1.3686442,27.292862,32.028088,-43.903206,-5.5789075,-0.023253143,-0.5890796,0.22848742,0.06200838,0.2906643,-0.028308174,0.07363495,-0.15502095,0.44888675,0.05038181,0.06975943,0.64299995,1.848625,-1.9765172,-1.0851467,-3.3755813,-0.022526784,0.59927076,-1.2677805,0.017079163,0.7197462,-1.2466614,0.01594908,0.68052274,-1.185734,-0.003368455,0.7183781,-1.2557626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5781603,-5.2475376,-0.3595233,-5.7991247,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.1187,6,17.344163001325796,5.994773000566056,10678532,1,0.0,0.0,0.0,-0.020172238,0.6257236,-1.3745996,0.036915746,0.680843,-1.3909181,-0.03713277,0.65318835,-1.3614565,0.0363456,0.6629679,-1.3626415,27.335402,31.973223,-43.92128,-5.6567206,-0.019377619,-0.43405867,0.0080880495,0.0038755238,0.5503244,-0.06268239,-0.019377619,0.05813286,0.13547485,-0.054257333,0.7479761,0.0060660373,1.7943674,-3.557731,-0.8409887,-4.321209,-0.021344567,0.63342935,-1.3107892,0.014887914,0.7060634,-1.2056259,0.02309573,0.6761685,-1.1129133,-0.007215984,0.73695266,-1.3092276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1241753,-4.9384003,-0.6620091,-4.6134043,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.1355133,7,14.127323000138858,4.1128350003418745,10678552,1,0.0,0.0,0.0,-0.024229407,0.6179422,-1.3740941,0.03682491,0.6874435,-1.389449,-0.03673917,0.6532489,-1.3587552,0.037344754,0.67898476,-1.3652005,27.36901,31.903524,-43.934452,-5.733353,-0.11626572,-0.28291324,0.076836474,0.046506286,0.6162083,0.038418237,-0.10076362,0.034879714,0.06874842,-0.027128667,0.8448642,0.036396224,2.255555,-4.18169,-0.36817476,-4.305707,-0.029224813,0.6580497,-1.2929003,0.0027726316,0.6972394,-1.218158,0.027061567,0.6976653,-1.0599785,-0.0012873388,0.7321951,-1.3444115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0886004,-4.7939024,-0.99835604,-4.506911,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.1575735,8,16.110860000480898,4.297346000385005,10678571,1,0.0,0.0,0.0,-0.025289059,0.6198801,-1.3764637,0.03673408,0.6977379,-1.387743,-0.03673917,0.65330946,-1.3542057,0.036890626,0.69606125,-1.3673964,27.408855,31.83676,-43.940567,-5.8170404,0.07363495,-0.4185566,-0.14962892,0.10463915,0.51156914,0.14962892,0.027128667,-0.1472699,0.325544,-0.05038181,1.050267,-0.16984905,2.1509159,-3.476345,-0.4185566,-4.371591,-0.035097387,0.6712989,-1.2725111,-0.0004938338,0.6842501,-1.2307755,0.029690834,0.7048021,-1.0655382,0.0024041235,0.7264008,-1.3583543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65606385,-3.6817827,-1.3899504,-4.157177,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.1808376,9,18.962424001074396,6.140914998468361,10678592,1,0.0,0.0,0.0,-0.026772738,0.61576223,-1.3763216,0.037218522,0.7083653,-1.3874428,-0.03637582,0.6540059,-1.3494667,0.037344754,0.7107156,-1.3720406,27.439768,31.77572,-43.946896,-5.8931885,-0.04263076,-0.20152724,-0.012132075,0.03100419,0.58520406,0.010110063,-0.027128667,0.07363495,0.046506286,0.054257333,0.8409887,-0.17389306,1.228541,-2.856261,-0.38755238,-3.987914,-0.03736987,0.6801017,-1.2619237,0.0016807686,0.6818674,-1.2533175,0.03165324,0.7202243,-1.0778573,0.005197091,0.71058977,-1.3225162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67718685,-2.3660386,-1.666424,-4.1002555,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788446248.2035239,10,20.933673000399722,11.238320001211832,10678611,1,0.0,0.0,0.0,-0.029043555,0.61458147,-1.375279,0.037884627,0.7174788,-1.3874586,-0.036527216,0.65664,-1.3490086,0.03710258,0.72291744,-1.3740942,27.451971,31.735636,-43.96073,-5.962978,0.0077510476,0.019377619,0.03437421,0.011626571,0.59683067,0.022242136,-0.096888095,0.13564333,0.036396224,-0.03100419,0.651088,-0.06672641,0.054257333,-2.2516794,-0.84873974,-3.801889,-0.032414563,0.65286267,-1.2389334,0.007596508,0.6982654,-1.2613988,0.02289993,0.7187922,-1.1122512,0.002364607,0.71401566,-1.2766871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9401834,-1.3715185,-2.0052967,-4.077113,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
