time_s,loop,loop_dt_ms,inference_ms,ipc_ms,state_age_ms,action_state_age_ms,state_tick,enabled,warmup,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_rpy_r,imu_rpy_p,imu_rpy_y,battery_voltage,battery_current,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788527462.9787507,1,5.862265001269407,4.644177999580279,5.764884999734932,1.168613,6.940954,9034310,1,1,0.0,0.0,0.0,-0.020898819,0.6453737,-1.3871897,0.03170801,0.6447825,-1.3930824,-0.039403588,0.63795877,-1.4066675,0.030986488,0.65170467,-1.403982,-3.75293,-5.325757,-2.5989628,-1.5744013,0.05038181,-0.027128667,0.0,0.019377619,-0.015502095,-0.018198112,0.0,-0.019377619,0.0040440247,0.019377619,0.0,-0.0485283,-0.038755238,-0.019377619,0.015502095,0.0,0.9895313,1.2863907,4.4570136,-1.6822032,1.2863907,4.978579,2.0780158,1.7316797,5.5001445,-1.5585117,0.89057815,5.5001445,0.024738282,-0.024738282,0.0,0.0,0.9997347,0.0033117228,0.007042268,-0.021685071,-0.0042610574,-0.010652643,0.0074568503,-0.03232172,-0.11851298,9.490616,0.006316944,0.014224908,-0.043329928,30.659500122070312,2.085087299346924,-0.048005722,0.42723784,0.122887164,-0.03731064,-0.056408484,-0.015456732,0.33419102,0.15334949,-0.12183833,0.2169721,0.8568848,-0.26039648,0.15002885,0.26184455,0.8033521,-0.010122344,-0.014102121,0.66613585,-1.2164522,-0.012001431,0.77680945,-1.2692782,0.037507214,0.7354612,-1.0991619,-0.030459583,0.72424304,-1.0857787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.533495,-0.37310642,-0.10122344,-2.6039648,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527462.9972625,2,4.4527479985845275,3.147267001622822,4.366858000139473,1.091234,5.465932,9034330,1,1,0.0,0.0,0.0,-0.020898819,0.645404,-1.3871582,0.031647455,0.6447825,-1.3930665,-0.03934303,0.6380496,-1.4066833,0.031016767,0.6516744,-1.4039663,-3.7529,-5.325757,-2.5989628,-1.5744013,0.054257333,0.0,0.044484273,-0.05038181,0.06975943,0.02426415,0.08526152,0.0038755238,-0.02426415,0.03100419,0.011626571,-0.010110063,0.0077510476,-0.034879714,-0.023253143,0.0038755238,1.0390079,1.2863907,4.4570136,-1.6822032,1.2863907,4.978579,2.1027539,1.7316797,5.5001445,-1.5585117,0.86583984,5.594975,0.024738282,-0.024738282,0.024738282,-0.024738282,0.99973637,0.0032924337,0.007057639,-0.021604724,-0.006391586,0.006391586,0.0010652643,-0.008379706,-0.12210429,9.472659,0.006278853,0.014254303,-0.043169376,30.659500122070312,2.016723871231079,-0.030264776,0.44321132,0.07337644,-0.078815125,-0.051899493,-0.046616703,0.251367,0.16905013,-0.09688233,0.2420527,0.8831035,-0.32201844,0.13548446,0.2542792,0.74290127,-0.02736253,-0.012974873,0.6583458,-1.2371582,-0.007566194,0.78080285,-1.2816558,0.033871114,0.7335698,-1.1142746,-0.024220582,0.7305132,-1.0792241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6905012,-0.78815126,-0.27362528,-3.2201843,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527463.0164137,3,3.633329999502166,2.5035029993887292,3.5250389992143027,1.08461,4.618578,9034350,1,1,0.0,0.0,0.0,-0.020929098,0.645404,-1.3871582,0.031677734,0.6447825,-1.3930824,-0.03937331,0.6380496,-1.4066517,0.031016767,0.6516744,-1.4039505,-3.7529,-5.3256664,-2.5989928,-1.5744013,0.04263076,-0.023253143,0.0485283,0.0077510476,0.038755238,-0.0040440247,0.015502095,0.023253143,0.042462263,0.03100419,-0.0077510476,0.0060660373,-0.015502095,0.13564333,0.019377619,0.0,1.0390079,1.3606055,4.4570136,-1.7069415,1.1874375,4.978579,2.1027539,1.7316797,5.5001445,-1.5585117,0.9400547,5.5001445,0.0,0.0,0.049476564,0.0,0.99973524,0.0032812308,0.007079617,-0.021650238,0.010652643,0.0042610574,-0.0149137005,-0.088585466,-0.18195933,9.576807,0.0062548523,0.014298052,-0.043260466,30.659500122070312,2.016723871231079,-0.024649683,0.36980903,-8.9313835e-06,-0.18356031,-0.08163282,-0.114244595,0.2151533,0.12411793,-0.06514254,0.18828979,0.77467084,-0.44652894,0.13308601,0.23786606,0.645573,-0.11280641,-0.020408206,0.64143884,-1.2462116,-0.006162421,0.76245224,-1.3000022,0.033271503,0.72946656,-1.1386067,-0.016285636,0.7170725,-1.1063323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2411793,-1.8356031,-1.1280642,-4.4652896,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527463.036617,4,3.8335930003086105,2.881914000681718,3.7222930004645605,1.163269,4.89385,9034370,1,1,0.0,0.0,0.0,-0.020898819,0.6453737,-1.3872056,0.03170801,0.64481276,-1.3930981,-0.039433867,0.6379285,-1.4066675,0.030956209,0.6516744,-1.4039505,-3.7529,-5.3257265,-2.5989928,-1.574371,0.05813286,-0.023253143,-0.0080880495,0.015502095,0.038755238,-0.028308174,-0.05038181,-0.065883905,0.012132075,-0.011626571,0.0,-0.0020220124,-0.015502095,0.027128667,-0.05038181,0.038755238,0.9895313,1.3606055,4.4570136,-1.7069415,1.2121758,4.883749,2.1274922,1.7316797,5.4527297,-1.5585117,0.9400547,5.5001445,0.024738282,0.0,0.0,-0.024738282,0.9997329,0.003277588,0.0071009207,-0.021749966,-0.019174758,-0.0053263213,-0.020240022,-0.15203181,-0.10534488,9.568427,0.0062452178,0.014341115,-0.043459915,30.66835594177246,2.050905704498291,-0.003610218,0.29768533,0.005171773,-0.28204745,-0.0723013,-0.17378493,0.1356842,0.080894865,-0.052336298,0.18732086,0.66710734,-0.5036993,0.1079276,0.22072302,0.48124984,-0.15437995,-0.018075325,0.6265538,-1.266079,-0.0009025545,0.74442136,-1.298707,0.0269819,0.72518075,-1.1796875,-0.0130840745,0.71683025,-1.133223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80894864,-2.8204746,-1.5437995,-5.036993,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527463.0574014,5,4.613361999872723,3.5855210007866845,4.514414000368561,1.121251,5.644593,9034390,1,1,0.0,0.0,0.0,-0.020898819,0.6453737,-1.387174,0.03170801,0.6447825,-1.3930665,-0.039403588,0.63795877,-1.4066517,0.03092593,0.65173495,-1.403982,-3.7529,-5.325757,-2.5989628,-1.5743407,0.04263076,-0.034879714,0.038418237,0.015502095,-0.019377619,0.010110063,0.019377619,0.0,0.03437421,-0.05813286,0.05038181,-0.044484273,0.023253143,-0.019377619,0.015502095,0.07363495,1.0390079,1.2863907,4.4570136,-1.7069415,1.2121758,4.978579,2.1027539,1.7316797,5.5001445,-1.5585117,0.89057815,5.5001445,0.024738282,0.0,0.0,-0.024738282,0.9997329,0.003286953,0.007104557,-0.021750774,-0.008522115,-0.0042610574,0.0074568503,-0.094570965,-0.029927522,9.496601,0.0062637753,0.014348799,-0.04346138,30.659500122070312,2.050905704498291,0.0050140973,0.24623525,-0.050774645,-0.3416258,-0.083722055,-0.27750775,0.09844797,0.05298782,-0.057539284,0.21595405,0.51763815,-0.56602716,0.06903948,0.15312469,0.33034298,-0.22971512,-0.020930514,0.6006231,-1.275388,0.0012535243,0.7315588,-1.3126936,0.01725987,0.70828116,-1.2174143,-0.014384821,0.72398853,-1.1705904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298782,-3.416258,-2.2971513,-5.6602716,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527463.0772913,6,4.503725000176928,3.608209999583778,4.406506999657722,1.140484,5.553775,9034410,1,1,0.0,0.0,0.0,-0.020929098,0.6453737,-1.387174,0.031677734,0.6447522,-1.3930665,-0.03937331,0.6380193,-1.4066517,0.030986488,0.65170467,-1.4039505,-3.75293,-5.3257265,-2.5989628,-1.5744013,0.023253143,-0.015502095,0.012132075,0.03100419,-0.011626571,0.022242136,0.05038181,-0.0038755238,0.03437421,0.011626571,0.05813286,0.014154087,-0.038755238,0.03100419,0.019377619,-0.027128667,1.0390079,1.3606055,4.4570136,-1.6327267,1.1874375,4.883749,2.0780158,1.7069415,5.3104844,-1.58325,0.89057815,5.4527297,0.0,-0.024738282,0.049476564,-0.024738282,0.99973565,0.0032600402,0.0070761833,-0.02163389,-0.0021305287,-0.013848436,0.0053263213,-0.016759412,-0.08738836,9.543288,0.0062128594,0.014290166,-0.04322808,30.659500122070312,2.050905704498291,0.0014269706,0.25716013,-0.067781255,-0.34139904,-0.08309888,-0.2739339,0.10744356,0.050564125,-0.051247433,0.20721285,0.51326734,-0.5687376,0.07147849,0.15539432,0.3524731,-0.22706284,-0.02077472,0.60151654,-1.2731391,0.00035674265,0.73429006,-1.3169453,0.017869623,0.7088486,-1.2118816,-0.012811858,0.72180325,-1.1716831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5056412,-3.4139905,-2.2706285,-5.687376,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527463.0975516,7,4.76168599925586,3.786711000429932,4.671443000916042,1.059681,5.739189,9034430,1,1,0.0,0.0,0.0,-0.020929098,0.645404,-1.3871582,0.03170801,0.6447522,-1.3930981,-0.039403588,0.6380193,-1.4066675,0.030986488,0.6516441,-1.4039663,-3.75293,-5.325757,-2.5989928,-1.574371,0.034879714,-0.027128667,0.03437421,0.08526152,0.0038755238,-0.030330187,-0.038755238,-0.05813286,0.020220125,-0.0038755238,0.038755238,-0.020220125,-0.05038181,-0.034879714,-0.03100419,0.038755238,0.9895313,1.2863907,4.504429,-1.6822032,1.2863907,4.978579,2.0780158,1.7069415,5.5001445,-1.5585117,0.86583984,5.4527297,0.024738282,-0.049476564,0.049476564,-0.049476564,0.9997374,0.0032417178,0.0070828097,-0.02155453,0.01704423,-0.013848436,-0.0053263213,-0.095768064,-0.1604115,9.488221,0.0061770696,0.0143021345,-0.043069534,30.66835594177246,2.050905704498291,-0.0025161747,0.25410664,-0.079496086,-0.3470623,-0.08362488,-0.27319276,0.12130485,0.049445897,-0.05124999,0.20406446,0.5104301,-0.5667091,0.07654324,0.16390435,0.36392543,-0.22803038,-0.02090622,0.60170186,-1.2696737,-0.0006290437,0.7335267,-1.3198739,0.01913581,0.7109761,-1.2090186,-0.012812497,0.7210161,-1.1723924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49445897,-3.470623,-2.280304,-5.667091,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527463.1175675,8,4.789910999534186,3.8214960004552267,4.701363999629393,1.069025,5.777845,9034450,1,1,0.0,0.0,0.0,-0.020929098,0.645404,-1.3871897,0.031677734,0.6447825,-1.3930824,-0.039403588,0.63795877,-1.4066517,0.03092593,0.65170467,-1.4039505,-3.75293,-5.3257265,-2.5989928,-1.574371,0.0077510476,0.019377619,-0.010110063,-0.019377619,0.0,-0.014154087,0.0077510476,-0.10463915,0.038418237,-0.09301257,0.04263076,0.016176099,-0.038755238,0.015502095,0.054257333,0.023253143,1.0390079,1.2863907,4.504429,-1.6822032,1.2863907,4.883749,2.1027539,1.7316797,5.5001445,-1.4842969,0.89057815,5.5001445,0.0,-0.049476564,0.0,0.0,0.9997352,0.0032439257,0.007108894,-0.021648584,0.009587379,0.0010652643,-0.015978964,-0.1604115,-0.1448492,9.514558,0.0061790133,0.014354968,-0.043257523,30.66835594177246,2.085087299346924,-0.0004895646,0.23524827,-0.07258073,-0.35382792,-0.08752512,-0.27129993,0.121355556,0.054576196,-0.048490398,0.18918897,0.51926446,-0.5698207,0.07244157,0.17069978,0.33994973,-0.23170534,-0.02188128,0.60217506,-1.2696611,-0.00012239115,0.7288121,-1.3181452,0.018110393,0.712675,-1.2150126,-0.012122599,0.71729726,-1.1701839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54576194,-3.5382793,-2.3170533,-5.698207,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527463.1375515,9,4.772726999362931,3.8252400008786935,4.685267000240856,1.121412,5.815127,9034470,1,1,0.0,0.0,0.0,-0.020898819,0.6453737,-1.387174,0.031768568,0.64481276,-1.3930824,-0.039403588,0.63795877,-1.4066833,0.030956209,0.65170467,-1.4039505,-3.7529,-5.3257265,-2.5989928,-1.5744013,0.019377619,0.019377619,0.026286162,0.09301257,0.034879714,-0.014154087,0.0038755238,-0.034879714,-0.016176099,-0.027128667,0.0,0.0020220124,0.011626571,0.0038755238,-0.038755238,-0.05038181,1.0390079,1.2616524,4.314769,-1.6822032,1.2616524,4.978579,2.0780158,1.7316797,5.5001445,-1.5585117,0.9400547,5.4527297,0.0,-0.049476564,0.049476564,0.0,0.9997329,0.0032541887,0.007127395,-0.021742322,0.015978964,-0.0010652643,-0.0074568503,-0.08259996,-0.15203181,9.498995,0.0061973883,0.014392987,-0.043444805,30.659500122070312,2.085087299346924,-0.0033925492,0.2365888,-0.074498646,-0.3403193,-0.0866305,-0.27822173,0.12866299,0.05069337,-0.04977391,0.19864161,0.50036085,-0.5638345,0.07674727,0.16492543,0.35113102,-0.23211184,-0.021657625,0.60044456,-1.2678342,-0.0008481373,0.7291472,-1.3186246,0.019186817,0.71123135,-1.2122172,-0.012443477,0.7196604,-1.1749097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5069337,-3.403193,-2.3211184,-5.638345,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788527463.1574612,10,4.678514998886385,3.70494900016638,4.59176099866454,1.085538,5.685203,9034490,1,1,0.0,0.0,0.0,-0.020898819,0.6453737,-1.387174,0.03173829,0.64481276,-1.3930665,-0.039403588,0.63795877,-1.4066675,0.030986488,0.6517652,-1.4039505,-3.75293,-5.3257265,-2.5989628,-1.574371,0.038755238,0.0,0.02426415,0.06975943,0.05813286,-0.0060660373,-0.038755238,-0.04263076,0.026286162,0.019377619,0.13951886,0.0060660373,-0.05813286,0.034879714,-0.0077510476,0.034879714,1.0637461,1.2863907,4.4570136,-1.6822032,1.2121758,4.978579,2.1027539,1.7316797,5.4527297,-1.4842969,0.89057815,5.5001445,0.0,0.0,0.0,-0.049476564,0.9997342,0.0032623613,0.007140357,-0.021679956,-0.0010652643,0.003195793,0.0074568503,-0.04070143,-0.1376666,9.49301,0.006214068,0.014418874,-0.04331985,30.66835594177246,2.050905704498291,0.0033769738,0.2371898,-0.051060215,-0.33869064,-0.07977575,-0.29421893,0.115919076,0.04636983,-0.056789726,0.2124721,0.4840495,-0.5574217,0.069544345,0.14831465,0.35280788,-0.22968584,-0.019943938,0.59644526,-1.2710202,0.00084424345,0.72929746,-1.312765,0.017386086,0.7070787,-1.211798,-0.0141974315,0.72311807,-1.1789876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46369827,-3.3869064,-2.2968583,-5.574217,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
