time_s,loop,loop_dt_ms,inference_ms,state_tick,enabled,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788442716.1040776,1,41.93296500034194,16.35133399940969,7146552,1,0.0,0.0,0.0,-0.02410829,0.6643274,-1.3880428,0.032888837,0.6611929,-1.3960047,-0.039857745,0.6464062,-1.3920869,0.03461981,0.65618575,-1.3929242,13.389663,27.206388,-31.699272,-0.4023884,0.077510476,-0.12014124,0.020220125,0.015502095,-0.13176781,-0.0020220124,0.019377619,-0.06200838,-0.11727672,-0.0077510476,-0.038755238,-0.07481446,-0.011626571,0.027128667,0.011626571,-0.054257333,-0.014528973,0.6643348,-1.2074535,-0.012569349,0.78179204,-1.2755167,0.037397996,0.73406875,-1.0856957,-0.028726157,0.72467756,-1.0998814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7174873,-0.12875609,0.010973653,-2.3049738,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.1307607,2,24.833431999468303,9.225368999977945,7146594,1,0.0,0.0,0.0,-0.024350524,0.6623291,-1.3880428,0.032616336,0.6579532,-1.395989,-0.03964579,0.6465273,-1.396984,0.0349831,0.65488386,-1.3966681,13.389663,27.206388,-31.696972,-0.4023581,0.015502095,-0.13176781,0.016176099,0.027128667,-0.06200838,-0.012132075,0.054257333,0.0,-0.11727672,-0.054257333,0.0077510476,-0.076836474,0.027128667,0.05038181,0.03100419,0.038755238,-0.004202784,0.6258334,-1.2467164,6.0659368e-05,0.77226025,-1.2904676,0.026218079,0.71194375,-1.1373601,-0.020682141,0.7191919,-1.1137503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3643577,-1.6717575,0.06582041,-3.6763287,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.150777,3,19.004814000254555,4.157397000199126,7146622,1,0.0,0.0,0.0,-0.025743246,0.6568792,-1.380018,0.031041905,0.66676396,-1.3958783,-0.038010806,0.64728427,-1.3857049,0.035558403,0.6548233,-1.3834302,13.39705,27.203451,-31.700512,-0.419586,0.027128667,-0.2906643,0.24061948,-0.11239019,0.11239019,-0.0080880495,0.015502095,-0.08526152,0.38418236,0.15114543,0.011626571,0.41249055,0.53094673,-0.6665901,-0.6317104,-1.7439858,-0.012333894,0.604623,-1.2554884,0.004171086,0.75565666,-1.3095315,0.027596084,0.6991803,-1.1801785,-0.010302654,0.68519616,-1.1452568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8787084,-3.1142817,-0.92330563,-5.456815,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.1726146,4,20.79658599996037,6.569937000676873,7146642,1,0.0,0.0,0.0,-0.024350524,0.64289093,-1.3760055,0.031072184,0.6682173,-1.3950411,-0.03713277,0.6449226,-1.3835092,0.03607309,0.6573363,-1.3799391,13.411584,27.180592,-31.708324,-0.45470795,0.0038755238,-0.85649073,0.35385218,-0.05813286,0.16664752,0.06874842,0.0077510476,-0.33329505,0.35991824,0.011626571,0.12014124,0.40238047,1.1587815,-1.5734626,-0.3604237,-2.4842107,-0.008285335,0.60458684,-1.2551966,0.015770683,0.75460887,-1.281651,0.020973887,0.7117904,-1.1860585,-0.012945879,0.70205426,-1.1924314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6451912,-4.9621778,-0.67309546,-6.759835,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.1926916,5,19.050383999456244,6.608499000321899,7146664,1,0.0,0.0,0.0,-0.025440454,0.6301744,-1.3699869,0.030890517,0.672335,-1.3951044,-0.035921663,0.63920015,-1.3754053,0.036890626,0.65766937,-1.3692446,13.445737,27.13999,-31.721191,-0.51659524,-0.019377619,-0.5348223,0.101100616,0.023253143,0.3759258,-0.10514465,0.0077510476,-0.21315381,0.5034811,0.05038181,0.17052305,0.5499874,1.9067578,-2.4803352,-0.8332376,-3.3019464,-0.025771502,0.59673256,-1.2554989,0.017243987,0.7090986,-1.2512561,0.016538069,0.6790317,-1.1932356,-0.0015177331,0.71643794,-1.2670366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5429325,-5.90632,-1.0747888,-6.074029,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.2139437,6,20.216459999574,7.281844999852183,7146684,1,0.0,0.0,0.0,-0.026500225,0.621727,-1.3698289,0.031556625,0.6800861,-1.3951359,-0.035830826,0.63783765,-1.3675067,0.03676951,0.66490567,-1.364616,13.481222,27.08443,-31.738632,-0.580178,-0.011626571,-0.37980133,0.0020220124,0.13176781,0.5580754,-0.020220125,0.0,0.12014124,0.14356288,0.03100419,0.67434114,0.13749684,2.1121604,-3.7088764,-1.147155,-4.7242637,-0.027670836,0.62355065,-1.2848237,0.013362475,0.688435,-1.2128052,0.025535991,0.6786018,-1.1284997,-0.0042986237,0.73367393,-1.3196136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.253631,-5.3148746,-1.5642381,-4.8125367,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.2325382,7,17.9079580002508,5.486297000061313,7146704,1,0.0,0.0,0.0,-0.031193256,0.61530817,-1.3690706,0.03110246,0.6882005,-1.3948832,-0.035558343,0.6411076,-1.3665116,0.037223637,0.6829208,-1.3659588,13.521067,27.011946,-31.75898,-0.6707684,-0.14339438,-0.22478038,0.082902506,-0.10076362,0.7479761,-0.026286162,-0.065883905,0.22478038,0.032352198,-0.027128667,0.984383,-0.0080880495,2.1664178,-4.228196,-0.80998445,-4.728139,-0.03357669,0.65438604,-1.2732707,0.0029802606,0.6905648,-1.2321266,0.02906235,0.69981146,-1.0714383,0.00045206095,0.7260769,-1.337054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1767526,-4.999306,-1.8827207,-4.6854477,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.2526274,8,16.75762700051564,5.9652979998645606,7146726,1,0.0,0.0,0.0,-0.03325212,0.6167917,-1.3685968,0.030557465,0.7003114,-1.3925136,-0.0356189,0.64501345,-1.3621675,0.036981463,0.7032976,-1.3690866,13.56727,26.939249,-31.773087,-0.7653251,0.096888095,-0.027128667,0.046506286,-0.019377619,0.64333695,0.1455849,0.011626571,0.034879714,0.30330187,-0.096888095,1.0618935,-0.27701572,2.1664178,-3.4143364,-0.86811733,-4.51111,-0.036066715,0.65500695,-1.2710762,-0.0004545725,0.67817104,-1.2328383,0.02859855,0.6973168,-1.0879327,-0.00034659915,0.727086,-1.3471102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84432966,-4.0077085,-2.0622845,-4.411948,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.2719548,9,15.54780500009656,5.959536999398551,7146746,1,0.0,0.0,0.0,-0.034160376,0.6142181,-1.3682809,0.03125385,0.7133308,-1.3918028,-0.035164744,0.64798063,-1.3553747,0.037980616,0.7172858,-1.3714561,13.597427,26.879814,-31.788467,-0.8337221,0.027128667,-0.2596601,0.0,0.038755238,0.7130964,-0.0040440247,0.08526152,0.1472699,0.22848742,-0.038755238,0.6200838,-0.0485283,1.2517942,-2.9415226,-1.1432796,-4.0305448,-0.037955496,0.66772705,-1.2517245,0.0016080854,0.69152576,-1.2499255,0.024327043,0.7090941,-1.0941316,0.00164071,0.72511387,-1.320705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43740547,-2.4908783,-2.3957026,-4.1518307,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788442716.292756,10,16.282945999591902,7.9128850002234685,7146766,1,0.0,0.0,0.0,-0.03579545,0.61228037,-1.3680912,0.03161718,0.7223838,-1.3917238,-0.03492251,0.651402,-1.3543321,0.037586987,0.7298207,-1.371235,13.612263,26.830856,-31.808239,-0.9075992,-0.10076362,0.0,-0.032352198,0.023253143,0.4650629,0.0020220124,-0.09301257,0.23253144,0.101100616,-0.10463915,0.6704656,0.036396224,0.2906643,-1.9338863,-1.1704081,-3.7553828,-0.03572808,0.6465571,-1.2227104,0.0076993327,0.69871086,-1.251672,0.016232997,0.71085465,-1.1353812,0.0014282949,0.7275454,-1.2888764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.726889,-1.2285702,-2.5371299,-3.7856007,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
