time_s,loop,loop_dt_ms,inference_ms,ipc_ms,state_age_ms,action_state_age_ms,state_tick,enabled,warmup,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_rpy_r,imu_rpy_p,imu_rpy_y,battery_voltage,battery_current,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788512113.3364854,1,5.771228999947198,4.165878999629058,5.685784999513999,0.122342,5.814495,5464648,1,1,0.0,0.0,0.0,-0.021322727,0.6445707,-1.3889749,0.030284967,0.64302635,-1.3964471,-0.039100796,0.64564925,-1.4059408,0.031047046,0.6547022,-1.4048351,-8.083253,-4.461091,14.205217,91.47302,0.027128667,0.019377619,0.014154087,0.04263076,0.06200838,-0.022242136,-0.04263076,0.038755238,0.0040440247,-0.054257333,0.023253143,0.0080880495,0.054257333,-0.03100419,-0.04263076,0.0,1.0637461,1.4100821,4.504429,-1.6079884,1.3606055,5.0734096,2.1027539,1.311129,5.4527297,-1.58325,0.6926719,5.4527297,0.0,-0.024738282,0.024738282,-0.049476564,0.9999403,0.0037309541,0.008881801,0.0051615066,0.0021305287,0.0042610574,-0.008522115,-0.12689269,-0.11851298,9.51336,0.007554407,0.017724954,0.01039049,28.782569885253906,2.290177822113037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0159327,0.66319364,-1.2091027,-0.011260964,0.76693654,-1.267125,0.037404366,0.73924786,-1.1069084,-0.029018767,0.71900713,-1.0910355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4874727,-0.365678,-0.03782956,-2.5351205,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.352473,2,3.4386150000500493,2.620498999931442,3.359698999702232,0.857317,4.242297,5464666,1,1,0.0,0.0,0.0,-0.021322727,0.6445404,-1.3889749,0.030224413,0.6429961,-1.3964471,-0.039070517,0.64564925,-1.405925,0.031107605,0.6547022,-1.404851,-8.083314,-4.461061,14.205217,91.47302,0.046506286,-0.0077510476,-0.0040440247,-0.038755238,0.015502095,-0.020220125,0.023253143,0.011626571,0.02426415,0.054257333,0.0,-0.0080880495,-0.04263076,0.023253143,-0.046506286,0.015502095,1.0637461,1.311129,4.504429,-1.6079884,1.3606055,5.0259943,2.0780158,1.3606055,5.3104844,-1.58325,0.6926719,5.5001445,0.0,-0.024738282,0.0,0.0,0.9999402,0.003758093,0.008853908,0.0051987814,0.006391586,0.0021305287,-0.006391586,-0.08259996,-0.079008654,9.490616,0.0076090572,0.017668601,0.010465314,28.782569885253906,2.2218143939971924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015022895,0.65622336,-1.2290937,-0.007471903,0.77717054,-1.2834835,0.034036525,0.7365286,-1.116908,-0.022935443,0.7267864,-1.0844599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5548682,-0.752291,-0.15074728,-3.1622157,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.372489,3,3.4588709995659883,2.3284859998966567,3.402196999559237,0.85767,4.264667,5464686,1,1,0.0,0.0,0.0,-0.021383286,0.6445707,-1.388959,0.030224413,0.6429355,-1.3964312,-0.039100796,0.64567953,-1.405925,0.031107605,0.6546719,-1.4048667,-8.083314,-4.461061,14.205278,91.47302,-0.0077510476,-0.0077510476,0.0080880495,0.019377619,-0.019377619,0.020220125,-0.027128667,-0.019377619,0.032352198,0.0,0.0038755238,-0.032352198,-0.05813286,0.015502095,0.027128667,0.038755238,1.0637461,1.311129,4.504429,-1.6079884,1.3606055,5.1208243,2.0780158,1.2863907,5.4527297,-1.5585117,0.74214846,5.5001445,0.024738282,-0.024738282,0.0,0.0,0.9999396,0.0037634806,0.0088413125,0.0053307456,0.0010652643,-0.003195793,0.0149137005,-0.02873042,-0.14604631,9.508572,0.0076220282,0.017642347,0.010729272,28.782569885253906,2.1876325607299805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019798432,0.6371827,-1.2503659,-0.00502111,0.7643781,-1.2913815,0.029765239,0.72582966,-1.1407046,-0.018697087,0.7224373,-1.110396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.104412,-1.9732952,-0.921967,-4.3668566,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.3925989,4,3.55500400019082,2.3289660002774326,3.478456999800983,0.776322,4.259355,5464706,1,1,0.0,0.0,0.0,-0.021353006,0.644601,-1.3889433,0.030194135,0.6429355,-1.3964471,-0.039070517,0.6457098,-1.405925,0.031077325,0.6546719,-1.404851,-8.0833435,-4.4610305,14.205248,91.47299,0.05813286,-0.011626571,0.030330187,-0.027128667,-0.019377619,-0.018198112,-0.046506286,0.0,-0.012132075,-0.07363495,-0.0038755238,-0.022242136,-0.09301257,0.07363495,-0.046506286,-0.019377619,1.0637461,1.311129,4.646674,-1.6079884,1.311129,5.0259943,2.0780158,1.311129,5.5001445,-1.5090352,0.6926719,5.5001445,0.024738282,-0.024738282,0.024738282,-0.024738282,0.9999395,0.0037494113,0.00885889,0.005331066,-0.006391586,-0.0053263213,-0.009587379,-0.094570965,-0.12808979,9.5013895,0.0075940834,0.017677652,0.0107298,28.773717880249023,2.2218143939971924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018698677,0.62347883,-1.2636629,-0.0011778981,0.74485326,-1.2960656,0.02548493,0.72582406,-1.1815698,-0.01385675,0.7192488,-1.1418738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196142,-2.9358087,-1.3075984,-4.915423,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.4125981,5,3.5467150000840775,2.383209000072384,3.4858489998441655,0.853093,4.34355,5464726,1,1,0.0,0.0,0.0,-0.021383286,0.6445707,-1.388959,0.03025469,0.6429961,-1.3964471,-0.039100796,0.64564925,-1.405925,0.031077325,0.6547022,-1.404851,-8.083253,-4.461061,14.205248,91.47305,-0.023253143,-0.038755238,0.016176099,0.038755238,0.046506286,-0.020220125,0.0038755238,-0.04263076,0.02426415,-0.011626571,0.05038181,0.0040440247,0.054257333,0.038755238,-0.03100419,0.06200838,1.0637461,1.3606055,4.599259,-1.6327267,1.311129,5.1208243,2.0780158,1.311129,5.5001445,-1.5585117,0.74214846,5.4053144,0.024738282,-0.024738282,0.024738282,-0.049476564,0.99994,0.003788955,0.008866291,0.0051951036,0.0074568503,0.0,-0.020240022,-0.16400282,-0.11971009,9.500193,0.007670854,0.017693073,0.0104586,28.773717880249023,2.2218143939971924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023544978,0.5977334,-1.26144,-0.00050933147,0.7216971,-1.3221976,0.018032348,0.71613616,-1.2192235,-0.010337716,0.71453625,-1.1820604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25450543,-3.5540438,-2.1829371,-5.521842,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.4327273,6,3.664224999738508,2.63045100018644,3.582813000321039,0.814019,4.402176,5464745,1,1,0.0,0.0,0.0,-0.021353006,0.64451015,-1.3889749,0.03025469,0.6429961,-1.3964471,-0.039131075,0.645619,-1.405925,0.031077325,0.6547022,-1.404851,-8.083314,-4.461061,14.205248,91.47302,-0.019377619,-0.038755238,0.0040440247,0.0,-0.011626571,-0.022242136,-0.05813286,-0.019377619,0.028308174,0.019377619,-0.019377619,-0.020220125,-0.038755238,0.038755238,0.023253143,-0.019377619,1.0390079,1.3853438,4.504429,-1.6327267,1.3606055,5.0734096,2.0285392,1.311129,5.3104844,-1.5585117,0.74214846,5.5001445,0.024738282,-0.024738282,0.024738282,-0.024738282,0.99994,0.003797082,0.008884294,0.005158255,0.006391586,0.0010652643,0.0021305287,-0.11731588,-0.092176765,9.509769,0.007686648,0.017729279,0.010385178,28.773717880249023,2.2218143939971924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022168973,0.5978985,-1.2663269,-0.00024887314,0.72693795,-1.3175908,0.017016213,0.7138053,-1.2165605,-0.012217872,0.71988344,-1.1801393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2441904,-3.5309603,-2.0703676,-5.527715,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.4525795,7,3.5671640007421956,2.385543999480433,2.977186999487458,1.369276,4.351455,5464766,1,1,0.0,0.0,0.0,-0.021353006,0.6445404,-1.388959,0.030224413,0.6429658,-1.3964312,-0.039100796,0.64564925,-1.4059408,0.031047046,0.6546719,-1.4048667,-8.083283,-4.461061,14.205278,91.47302,0.027128667,-0.054257333,0.010110063,0.0,0.0,0.0020220124,-0.038755238,0.0,-0.0040440247,-0.06975943,-0.0038755238,-0.030330187,0.019377619,0.038755238,0.054257333,0.0038755238,1.0637461,1.3853438,4.504429,-1.6079884,1.311129,5.0259943,2.1027539,1.311129,5.4527297,-1.5585117,0.6926719,5.4527297,0.0,-0.024738282,0.024738282,0.0,0.99993974,0.0037896722,0.008862396,0.005253256,0.0053263213,-0.012783172,0.012783172,-0.045489833,-0.1316811,9.49301,0.007673276,0.017684828,0.0105749,28.782569885253906,2.1876325607299805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021199197,0.5965801,-1.2721425,0.00048313336,0.72697014,-1.313599,0.01598006,0.70899445,-1.2158576,-0.013717575,0.7228084,-1.1805074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2999437,-3.584492,-2.0892577,-5.520417,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.4725375,8,3.4962489999088575,2.292612999553967,3.4491110000089975,0.755265,4.208824,5464786,1,1,0.0,0.0,0.0,-0.021383286,0.6445707,-1.388959,0.030224413,0.6429658,-1.3964471,-0.039100796,0.6457098,-1.405925,0.031107605,0.6546719,-1.4048667,-8.083283,-4.4610305,14.205248,91.47302,0.0,-0.06200838,-0.0020220124,0.019377619,0.015502095,-0.012132075,-0.054257333,0.011626571,0.022242136,-0.0077510476,0.038755238,-0.030330187,-0.015502095,0.06975943,-0.015502095,0.038755238,1.0637461,1.311129,4.504429,-1.6079884,1.3606055,5.0734096,2.0780158,1.311129,5.5001445,-1.5585117,0.6679336,5.4527297,0.024738282,-0.049476564,0.024738282,-0.024738282,0.9999392,0.0037470039,0.008871922,0.005368393,0.006391586,0.0053263213,0.006391586,-0.035913024,-0.17118542,9.551667,0.00759007,0.017703459,0.010804523,28.773717880249023,2.1534507274627686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021501241,0.5955242,-1.2678907,0.00028713373,0.725607,-1.314141,0.015980475,0.7100632,-1.2159246,-0.013748383,0.72193146,-1.1837411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23442525,-3.597877,-2.1081789,-5.504159,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.4926968,9,3.621341999860306,2.4486189995513996,3.5654679995786864,0.703263,4.273339,5464805,1,1,0.0,0.0,0.0,-0.021383286,0.6445707,-1.388959,0.03025469,0.6429961,-1.3964471,-0.039100796,0.64567953,-1.405925,0.031107605,0.6547022,-1.404851,-8.0833435,-4.461061,14.205278,91.47302,-0.023253143,-0.046506286,0.0,0.03100419,0.05813286,-0.0080880495,0.015502095,-0.027128667,0.020220125,0.015502095,0.09301257,-0.016176099,-0.09301257,0.04263076,0.04263076,0.034879714,1.0637461,1.3853438,4.504429,-1.6079884,1.3853438,5.1208243,2.1027539,1.311129,5.5001445,-1.5585117,0.6926719,5.5001445,0.0,0.0,0.024738282,-0.024738282,0.99993956,0.003728038,0.008863674,0.0053291325,-0.013848436,-0.003195793,0.003195793,-0.15801731,-0.18195933,9.503783,0.0075513497,0.017687464,0.010725592,28.782569885253906,2.2218143939971924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021712929,0.59519625,-1.267361,0.00037251925,0.7216765,-1.3142961,0.016261514,0.7110019,-1.2158515,-0.012456205,0.7197229,-1.1845214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105809,-3.5941648,-2.1361246,-5.480891,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788512113.5127017,10,3.6337909996291273,2.465259999553382,3.5791970003629103,0.69155,4.275003,5464826,1,1,0.0,0.0,0.0,-0.021353006,0.6445707,-1.3889906,0.03025469,0.6429961,-1.3964471,-0.039100796,0.645619,-1.4059408,0.031077325,0.6547022,-1.404851,-8.083283,-4.461061,14.205248,91.47302,-0.015502095,-0.06200838,-0.014154087,-0.019377619,-0.0077510476,-0.020220125,-0.04263076,-0.03100419,0.020220125,0.0,0.019377619,-0.018198112,-0.03100419,0.038755238,0.0,-0.019377619,1.0637461,1.311129,4.504429,-1.6079884,1.3606055,5.0734096,2.1027539,1.311129,5.3104844,-1.5585117,0.791625,5.5001445,0.024738282,-0.024738282,0.024738282,0.0,0.9999403,0.0037573539,0.008843523,0.005193763,0.021305285,-0.0010652643,0.0010652643,-0.1448492,-0.11372458,9.524135,0.0076073804,0.017647877,0.01045518,28.773717880249023,2.1192691326141357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022020677,0.5974922,-1.2670437,1.1000317e-05,0.7254125,-1.3167162,0.016872408,0.712931,-1.2138722,-0.012842646,0.7202011,-1.1833193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24937764,-3.5923336,-2.092176,-5.5324216,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
