time_s,loop,loop_dt_ms,inference_ms,ipc_ms,state_age_ms,action_state_age_ms,state_tick,enabled,warmup,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_rpy_r,imu_rpy_p,imu_rpy_y,battery_voltage,battery_current,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788519146.804436,1,2.118280000104278,2.0747200005644117,0.0,1.104228,3.180595,718128,1,0,0.0,0.0,0.0,-0.023987174,0.6687479,-1.356196,0.028377483,0.66095066,-1.3584554,-0.03894943,0.66493607,-1.3795125,0.032621503,0.66136324,-1.3647898,-1.7220647,-3.3173575,-1.1954174,-1.4481137,0.038755238,-0.011626571,-0.23859747,-0.034879714,0.0038755238,-0.2790377,0.027128667,0.027128667,-0.16782704,-0.077510476,0.05038181,-0.16378301,0.034879714,0.081386,0.096888095,0.10851467,1.0884844,0.12369141,3.0819776,-1.4595586,0.34633595,3.2716377,2.0285392,0.24738282,4.030278,-1.6079884,0.34633595,3.603543,0.0,-0.074214846,0.0,-0.024738282,0.99973255,0.0045500086,0.007566851,-0.021373741,-0.0053263213,0.031957928,-0.012783172,-0.025139118,-0.08259996,9.343372,0.008775263,0.015324756,-0.042685162,31.704208374023438,1.5039974451065063,-0.032172315,0.30030563,0.2037061,-0.016938426,-0.059451416,-0.05535849,0.4262066,0.18389997,-0.11284801,0.15617137,0.8243355,-0.21867543,0.12813275,0.28072754,0.7178669,0.01166613,-0.014862854,0.6561604,-1.1934483,-0.008043079,0.7450764,-1.2490734,0.032033186,0.7401819,-1.1205332,-0.028212003,0.70904285,-1.093916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8389997,-0.16938426,0.1166613,-2.1867542,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.8228905,2,0.51538099978643,0.47653000001446344,0.0,0.977762,1.455549,718148,1,0,0.0,0.0,0.0,-0.025107503,0.6665679,-1.3536686,0.028104985,0.66924673,-1.3596085,-0.037344724,0.6676913,-1.3720089,0.03234899,0.66151464,-1.3539847,-1.7187343,-3.317418,-1.1963258,-1.4529884,-0.05813286,-0.37980133,0.21635534,-0.015502095,-0.019377619,-0.06268239,-0.05038181,-0.325544,0.6834402,0.18214962,-0.5076936,0.6288459,0.5503244,-0.05813286,-0.4728139,-0.84873974,0.56898046,-0.12369141,8.202802,-1.9048477,3.9828634,6.02171,3.7602189,4.2797227,12.991721,-3.2654533,2.9685938,13.418456,0.6679336,0.0,0.32159767,-0.59371877,0.99972683,0.004388672,0.008293904,-0.021407615,-0.025566343,-0.0010652643,0.0074568503,-0.45968673,0.33877954,10.573992,0.008421124,0.016771965,-0.042749766,31.589113235473633,4.8196282386779785,0.015161568,0.22900543,0.1465746,-0.13732722,-0.028329864,-0.20071986,0.27436647,0.288093,-0.05852741,0.0381741,0.90008587,-0.37344715,0.07164361,0.15984306,0.5786852,0.005084615,-0.007082466,0.61982006,-1.2314084,0.003790392,0.72725135,-1.2633563,0.017910903,0.70996076,-1.1553286,-0.0146318525,0.67954355,-1.0749785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88093,-1.3732722,0.050846152,-3.7344716,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.8429995,3,0.5641930001729634,0.5137940006534336,0.0,1.059761,1.575949,718168,1,0,0.0,0.0,0.0,-0.025258899,0.65663695,-1.3546638,0.02804443,0.66827786,-1.3610618,-0.03788972,0.6647544,-1.3700975,0.032833397,0.659153,-1.3483452,-1.7009916,-3.3276823,-1.205076,-1.4856881,0.077510476,-0.5619509,0.10716666,-0.03100419,-0.06200838,0.032352198,0.18990067,-0.24415801,0.16580501,-0.15889648,-0.05038181,0.54392135,1.4455703,-0.80998445,-0.43405867,-2.4067004,0.8411016,-1.2616524,6.2587852,-1.2863907,3.0428088,5.1208243,2.8201642,2.622258,10.952874,-2.2264454,1.0637461,13.655532,0.6679336,-0.32159767,0.24738282,-0.64319533,0.9997242,0.0047274446,0.009106789,-0.021127928,0.05432848,0.18429072,0.043675836,0.35194764,0.5374983,14.875175,0.009069126,0.018409356,-0.042177748,31.624526977539062,3.794175148010254,0.040876538,0.2889391,0.18049748,-0.20719218,-0.053666532,-0.2811484,0.33889443,0.35028672,-0.08519552,0.07967855,0.6354749,-0.4687546,0.06322499,0.10942624,0.4329596,-0.027522575,-0.013416633,0.5997129,-1.2152764,0.010219134,0.74223477,-1.2548755,0.015806248,0.6973566,-1.1917601,-0.02129888,0.68991965,-1.1411312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5028672,-2.0719218,-0.27522576,-4.687546,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.8639932,4,1.4937830001144903,1.4041000003999216,0.0,1.140827,2.548743,718188,1,0,0.0,0.0,0.0,-0.026560783,0.64389014,-1.3522626,0.027166381,0.6690348,-1.360588,-0.036920816,0.65863836,-1.36212,0.032288432,0.65845656,-1.3382193,-1.6639621,-3.3484828,-1.2152492,-1.5348588,-0.015502095,-0.7285985,0.21635534,-0.07363495,0.11239019,0.020220125,0.04263076,-0.13176781,0.57627356,-0.019377619,0.14339438,0.4084465,2.6392317,-1.383562,-0.5541999,-3.0461617,0.74214846,-1.4842969,6.7803507,-0.9400547,3.5623126,5.594975,2.7459493,2.2264454,8.202802,-2.6717343,1.4595586,9.862329,0.4205508,-0.24738282,0.14842969,-0.6679336,0.99972135,0.0049006264,0.01084754,-0.020387374,0.028762136,0.1789644,0.07030744,0.41180268,0.45370123,9.186552,0.009358594,0.021890605,-0.040678024,31.642236709594727,3.4181759357452393,0.06868464,0.25236943,0.3016409,-0.33000454,-0.053364135,-0.27767444,0.25812978,0.35673857,-0.07916887,0.10884416,0.47436056,-0.5466332,0.05398143,0.10100913,0.45100066,0.01061492,-0.013341034,0.6005814,-1.2354676,0.01717116,0.73309237,-1.2245897,0.013495358,0.6952523,-1.1872498,-0.019792218,0.697211,-1.1814098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5673857,-3.3000455,0.106149204,-5.466332,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.8842328,5,1.669000999754644,1.5822590003153891,0.0,0.771782,2.357437,718208,1,0,0.0,0.0,0.0,-0.027257204,0.6325966,-1.3502406,0.02731777,0.67272866,-1.3590556,-0.036496937,0.65533805,-1.3532263,0.032591224,0.66466343,-1.3332748,-1.6127932,-3.3849976,-1.2266638,-1.5918108,0.034879714,-0.68984324,0.012132075,0.0077510476,0.36817476,0.20826729,0.0,-0.08913705,0.41249055,0.03100419,0.5503244,0.20220123,2.9182694,-2.3911982,-0.5038181,-3.7088764,0.6679336,-0.9400547,5.974295,-0.64319533,2.8201642,6.827766,2.5975196,2.2017071,8.392462,-2.7459493,1.0884844,7.6812367,0.24738282,-0.34633595,0.2721211,-0.791625,0.9997258,0.004776528,0.012136896,-0.019451456,-0.05645901,0.10120011,0.08628641,0.20470424,0.2837129,7.6770077,0.009081115,0.024455396,-0.038797628,31.65108871459961,3.0763583183288574,0.067698956,0.08872768,0.39983636,-0.41585478,-0.09819008,-0.24137598,0.16680026,0.3427189,-0.05884345,0.1308681,0.31555927,-0.4670241,0.045810245,0.025910228,0.46873888,0.007495161,-0.02454752,0.60965604,-1.2582998,0.016924739,0.69218194,-1.2000408,0.011452561,0.67647755,-1.1828152,-0.014710862,0.70271707,-1.2211101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4271889,-4.158548,0.07495161,-4.670241,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.9044092,6,1.779154999894672,1.6876259996934095,0.0,1.181797,2.872763,718228,1,0,0.0,0.0,0.0,-0.029528022,0.62366474,-1.3503355,0.027378324,0.67566556,-1.3566703,-0.0364061,0.65506554,-1.3510463,0.032591224,0.67738,-1.3317741,-1.5594139,-3.4294147,-1.229843,-1.6659908,-0.11239019,-0.51156914,0.030330187,-0.019377619,0.3410461,0.20017922,-0.081386,0.08913705,0.07885849,-0.027128667,0.77510476,0.026286162,2.9221451,-2.5772233,0.06975943,-3.8716483,0.34633595,-0.17316797,4.694089,-0.51950395,0.44528908,8.013142,2.5233047,1.0884844,8.629538,-2.3996134,0.5442422,5.83205,0.14842969,-0.791625,0.049476564,-0.32159767,0.99973136,0.0051079574,0.0125191165,-0.01882248,0.09374326,0.011717907,0.03408846,-0.19752164,-0.5398925,7.9547353,0.009745144,0.02522647,-0.0375277,31.668794631958008,2.597813844680786,0.016902788,-0.013471644,0.37896058,-0.3962673,-0.13666588,-0.0971129,0.18232028,0.33972389,-0.03173373,0.10737756,0.1493809,-0.36953506,0.11050352,0.11966017,0.71948713,-0.04457013,-0.03416647,0.6457218,-1.2544199,0.004225697,0.6666321,-1.2052598,0.02762588,0.69991505,-1.1201282,-0.007933432,0.6968444,-1.2626548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3972387,-3.962673,-0.4457013,-3.6953506,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.9244382,7,1.7406580000169924,1.653909000197018,0.0,1.44617,3.103006,718249,1,0,0.0,0.0,0.0,-0.033494353,0.62381613,-1.3503671,0.0261975,0.6800861,-1.3547747,-0.036496937,0.65685195,-1.3480607,0.032258153,0.6876744,-1.3331485,-1.5051565,-3.4733171,-1.2300549,-1.7286654,-0.077510476,-0.11239019,-0.016176099,0.015502095,0.4573118,-0.0080880495,0.06200838,-0.14339438,0.17793709,-0.03100419,0.36429924,-0.020220125,2.7942526,-2.44158,-0.23640695,-3.394959,0.074214846,1.4100821,4.978579,-1.2121758,-1.1874375,7.8234816,3.4386213,2.4243517,11.806345,-2.0038009,0.024738282,3.698373,0.14842969,-0.6926719,-0.049476564,-0.12369141,0.99973047,0.005577892,0.012750566,-0.018583754,-0.012783172,0.058589537,0.02237055,-0.32441434,0.664391,9.85214,0.010682602,0.025704406,-0.037035946,31.659942626953125,2.905449628829956,-0.034838922,-0.038396735,0.31163326,-0.3514406,-0.1544561,-0.081364796,0.21901105,0.2470597,-0.0119309835,0.09858729,0.08199259,-0.3426703,0.11641698,0.13564199,0.80143315,-0.096678525,-0.038614023,0.6496588,-1.2452472,-0.008709731,0.6604008,-1.2220917,0.029104246,0.7039105,-1.0996417,-0.0029827459,0.69464684,-1.2795018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.470597,-3.5144062,-0.96678525,-3.426703,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.9440725,8,1.3120909998178831,1.2651490005737287,0.0,1.513356,2.780429,718268,1,0,0.0,0.0,0.0,-0.03576517,0.6171248,-1.3503196,0.025925003,0.68795824,-1.3549957,-0.036163896,0.65948606,-1.3468759,0.03310591,0.6967577,-1.3332748,-1.4619505,-3.5109217,-1.2367765,-1.7826804,-0.18214962,-0.26741114,-0.0060660373,0.023253143,0.2596601,0.014154087,0.054257333,0.05038181,0.010110063,-0.015502095,0.5503244,-0.010110063,1.9532641,-1.6974795,-0.6045817,-2.5694723,0.024738282,2.0285392,5.4527297,-1.8801094,-1.7811563,6.8751807,3.3891447,2.2264454,12.802061,-1.8306329,-0.6679336,2.8923175,0.17316797,-0.8411016,-0.14842969,-0.34633595,0.9997357,0.0053967414,0.012848063,-0.018283516,0.0042610574,0.028762136,0.045806367,-0.36870706,-0.15083471,10.05445,0.010324458,0.025889572,-0.036438964,31.65108871459961,2.97381329536438,-0.027998732,-0.0034869127,0.3371742,-0.26185116,-0.15254995,-0.06950309,0.22830984,0.13832477,-0.02637475,0.14190343,0.11018995,-0.2907195,0.09380602,0.12377243,0.78234893,-0.09814972,-0.038137488,0.65262425,-1.2429225,-0.006999683,0.6691283,-1.2157063,0.023451505,0.7009431,-1.1044127,-0.0065936875,0.70547587,-1.2724525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3832476,-2.6185117,-0.98149717,-2.907195,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.9641762,9,1.3529439993362757,1.2795010006811935,0.0,1.454612,2.737065,718288,1,0,0.0,0.0,0.0,-0.03688538,0.6131282,-1.3503039,0.025198342,0.69422567,-1.3549011,-0.036466658,0.66281664,-1.3463546,0.03268206,0.70581067,-1.3323586,-1.4342465,-3.5359008,-1.2500986,-1.8250992,-0.046506286,-0.18990067,-0.014154087,0.0077510476,0.3410461,0.0080880495,0.011626571,0.2596601,-0.014154087,0.0077510476,0.3914279,0.0040440247,1.0696446,-1.0851467,-0.86424184,-2.5113394,-0.049476564,2.2511837,5.594975,-1.7069415,-1.6327267,7.301916,3.1665,1.7811563,12.564985,-1.9790626,-0.47002736,3.2242227,0.14842969,-0.6926719,-0.049476564,-0.32159767,0.9997382,0.0057763793,0.013148346,-0.01781078,0.01704423,0.010652643,0.04154531,-0.3866636,0.37948096,9.249998,0.011085488,0.026498673,-0.035480235,31.659942626953125,2.871267557144165,-0.023752863,0.028896574,0.3206732,-0.18439478,-0.13556795,-0.098523185,0.24537328,0.005202271,-0.030303512,0.15219258,0.1556745,-0.2722398,0.07371082,0.10284656,0.75492173,-0.12657523,-0.033891987,0.64536923,-1.2386566,-0.0059382156,0.67722416,-1.2198317,0.018427705,0.6957117,-1.1112695,-0.007575878,0.70804816,-1.2610813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05202271,-1.8439478,-1.2657523,-2.722398,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788519146.984352,10,1.4675330003228737,1.4176040003803791,0.0,1.577932,2.997922,718309,1,0,0.0,0.0,0.0,-0.03688538,0.612129,-1.3500985,0.024895567,0.6986159,-1.3549484,-0.036678612,0.66669214,-1.3461809,0.032621503,0.713168,-1.330779,-1.4242549,-3.549344,-1.2645713,-1.8622195,0.0038755238,-0.03100419,0.02426415,0.038755238,0.16664752,-0.02426415,-0.05813286,0.162772,0.0080880495,-0.038755238,0.4185566,0.10514465,-0.09301257,-0.4728139,-0.7673537,-1.8835046,0.074214846,1.7811563,5.689805,-1.6327267,-1.3606055,7.207086,2.9191172,1.3606055,12.090836,-2.0285392,-0.64319533,3.650958,0.074214846,-0.6679336,-0.17316797,-0.34633595,0.9997419,0.005836562,0.013242598,-0.017514408,0.009587379,0.0010652643,0.006391586,-0.33877954,0.40581718,9.249998,0.011210464,0.026685974,-0.034884688,31.659942626953125,2.7687225341796875,0.00540307,0.018804409,0.3419948,-0.110089734,-0.12888296,-0.17061919,0.26938292,-0.11155059,-0.034132212,0.14486896,0.25230333,-0.26690757,0.04936924,0.09350744,0.6122028,-0.13537893,-0.03222074,0.6273452,-1.2326542,0.0013507674,0.6747011,-1.2145013,0.01234231,0.6933769,-1.1469493,-0.008533053,0.7062172,-1.2369242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1155059,-1.1008973,-1.3537893,-2.6690757,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
