time_s,loop,loop_dt_ms,inference_ms,state_tick,enabled,warmup,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788509562.5928204,1,5.976800000098592,4.323868000028597,2913935,0,1,0.0,0.0,0.0,-0.050480008,0.62716115,-1.4037766,0.06283331,0.63227785,-1.4041085,-0.0742833,0.679227,-1.387174,0.05605626,0.6829814,-1.3759898,-4.7374945,-12.137353,22.363802,34.791607,0.023253143,0.03100419,0.030330187,0.0038755238,0.011626571,-0.018198112,-0.038755238,-0.03100419,-0.0040440247,0.0077510476,0.027128667,-0.022242136,0.04263076,0.03100419,-0.07363495,0.027128667,-0.020209558,0.6444893,-1.1888187,-0.0048149675,0.7400401,-1.2478286,0.032946937,0.739849,-1.1087297,-0.028055176,0.7095762,-1.1084144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4896235,-0.1149077,0.59989387,-1.9782538,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.610854,2,4.000052999799664,2.5928549998752715,2913955,0,1,0.0,0.0,0.0,-0.05044973,0.6271006,-1.4037924,0.06286359,0.6323081,-1.4040928,-0.07425302,0.6791967,-1.387174,0.056025982,0.6829814,-1.3759898,-4.737525,-12.137383,22.363832,34.791607,0.011626571,-0.027128667,-0.0060660373,0.015502095,0.065883905,0.0,0.034879714,-0.0077510476,-0.010110063,-0.019377619,0.0,-0.020220125,-0.038755238,-0.015502095,-0.0038755238,0.019377619,-0.0153104905,0.60518897,-1.223111,0.013301294,0.7215607,-1.2539965,0.016722888,0.71650016,-1.1613672,-0.015887998,0.696818,-1.1112123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1258435,-1.5691195,1.1033015,-3.227185,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.6307786,3,3.9236669999809237,2.3912829997243534,2913975,0,1,0.0,0.0,0.0,-0.050510287,0.6271006,-1.4037924,0.06283331,0.63227785,-1.4040928,-0.07422274,0.6792573,-1.387174,0.05605626,0.6829511,-1.3759898,-4.737525,-12.137353,22.363832,34.791576,-0.046506286,-0.05038181,-0.0080880495,0.05813286,0.07363495,0.0060660373,0.038755238,-0.0077510476,-0.0080880495,-0.038755238,-0.019377619,-0.020220125,-0.023253143,0.011626571,-0.038755238,-0.019377619,-0.028011857,0.58539134,-1.2278284,0.01835435,0.7220645,-1.2625488,0.011359907,0.71102023,-1.1968899,-0.012876892,0.69061327,-1.1574308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2492304,-2.8532715,0.7666725,-4.392831,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.6508648,4,3.95608499957234,2.4064189997261565,2913995,0,1,0.0,0.0,0.0,-0.050480008,0.62716115,-1.4037766,0.06283331,0.6322173,-1.4041085,-0.07422274,0.67928755,-1.3871583,0.05611682,0.6829511,-1.3759898,-4.737525,-12.137322,22.363832,34.791576,0.038755238,-0.027128667,0.020220125,0.06200838,0.0038755238,-0.020220125,-0.05038181,-0.05813286,0.020220125,-0.0038755238,0.054257333,-0.020220125,-0.0077510476,0.06975943,-0.038755238,0.019377619,-0.02863346,0.5877329,-1.2479415,0.025474641,0.7135123,-1.2431375,0.0084072035,0.73607117,-1.2164786,-0.0046385853,0.69524384,-1.1894282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0361257,-4.9646077,1.3140354,-5.4392977,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.6707897,5,3.938612000183639,2.4599879998277174,2914015,0,1,0.0,0.0,0.0,-0.050480008,0.62716115,-1.4037924,0.06286359,0.63224757,-1.4040928,-0.07422274,0.67928755,-1.387174,0.056025982,0.6829511,-1.3759898,-4.737555,-12.137353,22.363832,34.791576,0.0077510476,-0.011626571,-0.010110063,0.046506286,0.023253143,0.0060660373,-0.027128667,-0.038755238,-0.012132075,-0.10851467,0.038755238,-0.014154087,-0.06975943,0.046506286,-0.019377619,-0.019377619,-0.048449192,0.5815268,-1.2417378,0.020343387,0.674883,-1.2567707,0.0045985207,0.7240535,-1.2475854,0.011923267,0.6949808,-1.238703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6917739,-6.484668,0.8536744,-5.0256405,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.6906457,6,3.793488999690453,2.2676650000903464,2914035,0,1,0.0,0.0,0.0,-0.05041945,0.6270703,-1.4037924,0.06289387,0.63227785,-1.4041085,-0.0742833,0.679227,-1.3871583,0.05605626,0.68301165,-1.3759898,-4.737525,-12.137383,22.363832,34.791576,0.038755238,-0.05813286,-0.0020220124,0.03100419,0.0038755238,-0.02426415,-0.077510476,0.019377619,0.020220125,0.0,0.06975943,-0.020220125,-0.04263076,-0.019377619,-0.038755238,-0.027128667,-0.05246122,0.60022146,-1.2533425,0.0126579795,0.6562831,-1.2485651,0.018956559,0.7303273,-1.2169703,0.013364233,0.694503,-1.261188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7817411,-6.6812115,0.28119123,-4.3878098,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.7107728,7,3.920179000033386,2.322962000107509,2914055,0,1,0.0,0.0,0.0,-0.05041945,0.6271006,-1.4037924,0.06286359,0.63227785,-1.4040928,-0.07422274,0.679227,-1.3871583,0.05605626,0.6829814,-1.375974,-4.737525,-12.137353,22.363832,34.791576,0.06200838,-0.023253143,0.0040440247,0.027128667,0.038755238,0.0060660373,0.03100419,0.0,0.020220125,-0.06200838,0.038755238,0.0,-0.015502095,0.034879714,-0.011626571,-0.03100419,-0.053487584,0.60133743,-1.2478461,0.004884888,0.65829134,-1.2657998,0.020742027,0.7266872,-1.1947026,0.013819568,0.69682324,-1.2693185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8377995,-6.9324093,0.0072467327,-4.6970744,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.7307508,8,3.8963070001045708,2.284880999923189,2914075,0,1,0.0,0.0,0.0,-0.050480008,0.62716115,-1.4037924,0.06283331,0.6322173,-1.4040928,-0.07422274,0.67928755,-1.3871583,0.05611682,0.6829208,-1.3760056,-4.737525,-12.137353,22.363802,34.791607,0.05813286,0.0,-0.02426415,0.05038181,0.0,0.018198112,0.0,-0.038755238,0.018198112,0.038755238,0.011626571,-0.036396224,-0.0077510476,0.027128667,-0.07363495,0.027128667,-0.05183039,0.60128844,-1.250215,0.0049770377,0.657288,-1.2649609,0.021490026,0.71997464,-1.204135,0.011820009,0.6984417,-1.2697778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6310432,-6.8387165,0.08008794,-4.7671022,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.75078,9,3.9294909997806826,2.239568000277359,2914095,0,1,0.0,0.0,0.0,-0.050480008,0.6271006,-1.4037766,0.06280304,0.63224757,-1.4041085,-0.07422274,0.67928755,-1.3871583,0.05611682,0.6829208,-1.3759898,-4.737525,-12.137383,22.363863,34.791576,0.07363495,-0.046506286,0.016176099,0.0038755238,0.06200838,-0.020220125,-0.034879714,-0.038755238,0.020220125,0.011626571,0.0077510476,-0.02426415,-0.038755238,-0.015502095,0.0,-0.019377619,-0.049241614,0.6015685,-1.247947,0.007640854,0.6530241,-1.2696029,0.018740099,0.7231717,-1.2141211,0.011524139,0.6925761,-1.2613239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1951888,-6.490365,0.12366466,-5.284879,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.7707715,10,3.919540000424604,2.2475679998024134,2914115,0,1,0.0,0.0,0.0,-0.050510287,0.62713087,-1.4037924,0.06286359,0.63227785,-1.4040928,-0.0742833,0.679227,-1.3871583,0.05605626,0.6829814,-1.3760056,-4.737525,-12.137353,22.363863,34.791607,-0.027128667,0.0,-0.0060660373,0.05813286,0.0,0.0040440247,-0.038755238,-0.038755238,0.020220125,0.0,0.034879714,-0.056616347,-0.038755238,0.027128667,0.0,0.015502095,-0.04726059,0.59235865,-1.2408054,0.014573852,0.6530853,-1.263893,0.01452155,0.7230757,-1.2358677,0.010374263,0.69354993,-1.243197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8034643,-6.2763667,0.11364059,-5.7094574,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
