time_s,loop,loop_dt_ms,inference_ms,ipc_ms,state_age_ms,action_state_age_ms,state_tick,enabled,warmup,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,imu_rpy_r,imu_rpy_p,imu_rpy_y,battery_voltage,battery_current,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788529333.2504,1,10.068173998661223,3.1764359991939273,4.930963001243072,1.14849,6.086141,10904570,0,1,0.0,0.0,0.0,-0.021504402,0.64576733,-1.3910443,0.031072184,0.6402711,-1.3990852,-0.039221913,0.64440787,-1.4043295,0.032863677,0.6544297,-1.4075522,-16.562231,-10.47439,-6.9789705,6.330426,0.0,-0.06200838,0.016176099,-0.015502095,0.06200838,-0.014154087,-0.03100419,-0.05813286,0.016176099,0.019377619,0.09301257,0.032352198,0.0077510476,0.0038755238,-0.10463915,0.054257333,1.0637461,1.2616524,4.599259,-1.6327267,1.4842969,5.2156544,2.1027539,1.3853438,5.3104844,-1.6327267,0.74214846,5.689805,0.049476564,-0.024738282,0.024738282,0.0,0.99965525,0.0022595108,0.007730952,0.024990745,-0.0053263213,-0.0074568503,0.0,-0.039504327,-0.15562311,9.4774475,0.0049044657,0.015344243,0.050025947,30.252243041992188,2.1876325607299805,-0.042265575,0.40660238,0.12821953,-0.040463593,-0.0587438,-0.012975547,0.33733168,0.15193394,-0.11947544,0.2030968,0.862316,-0.2636965,0.14798766,0.27063686,0.7890103,-0.0054912902,-0.01468595,0.66675615,-1.215667,-0.010566394,0.7716506,-1.267945,0.036996916,0.7376592,-1.1027474,-0.02986886,0.72077423,-1.0844209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5193393,-0.40463594,-0.054912902,-2.6369648,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.2646646,2,4.5393010004772805,1.9315579993417487,4.099861000213423,0.481938,4.587815,10904586,0,1,0.0,0.0,0.0,-0.021504402,0.64576733,-1.3910284,0.03110246,0.6402711,-1.399101,-0.039191633,0.64440787,-1.4043295,0.032833397,0.6544297,-1.4075522,-16.562262,-10.4743595,-6.9789405,6.330426,0.011626571,-0.07363495,0.036396224,0.046506286,0.038755238,-0.030330187,0.054257333,-0.06200838,0.018198112,-0.0077510476,0.038755238,0.020220125,-0.038755238,0.038755238,-0.038755238,-0.015502095,1.0884844,1.311129,4.646674,-1.6822032,1.4595586,5.3104844,2.1274922,1.3853438,5.4053144,-1.6327267,0.7668867,5.784635,0.024738282,0.0,0.0,-0.049476564,0.99965525,0.0022592668,0.007733711,0.024989445,-0.0021305287,-0.008522115,-0.003195793,-0.15322891,-0.19153613,9.482236,0.0049040955,0.0153497765,0.050023355,30.243389129638672,2.1876325607299805,-0.02732692,0.4526364,0.069642715,-0.084455185,-0.053474147,-0.035725754,0.2503653,0.16655323,-0.0978828,0.24258018,0.8982946,-0.32743177,0.1354838,0.26304254,0.74801254,-0.011638418,-0.013368537,0.66106856,-1.2374086,-0.00683173,0.78315914,-1.2825893,0.03387095,0.7357606,-1.1129968,-0.0244707,0.73064506,-1.0754263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6655324,-0.84455186,-0.11638418,-3.2743177,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.2838638,3,3.9583520010637585,1.9469509988994105,3.848907999781659,0.16919,4.024562,10904606,0,1,0.0,0.0,0.0,-0.021474123,0.6457976,-1.3910443,0.031132739,0.6403317,-1.3990852,-0.039221913,0.64440787,-1.4043137,0.032833397,0.6544297,-1.407568,-16.562231,-10.4743595,-6.9789405,6.3304563,0.05813286,0.027128667,0.028308174,0.06200838,0.10076362,-0.020220125,0.038755238,0.038755238,0.0485283,-0.06200838,0.0,-0.0080880495,0.027128667,0.038755238,-0.015502095,0.027128667,1.0884844,1.2863907,4.646674,-1.6327267,1.4595586,5.2630696,2.1027539,1.4595586,5.3104844,-1.6327267,0.7668867,5.689805,-0.024738282,-0.024738282,0.049476564,-0.049476564,0.99965805,0.0022488798,0.007734215,0.024877366,0.0,0.008522115,-0.012783172,-0.18555063,-0.19033903,9.494206,0.00488163,0.015351851,0.04979895,30.243389129638672,2.2218143939971924,-0.020614196,0.36880863,0.010586408,-0.20460597,-0.08079797,-0.11549345,0.2038393,0.11882252,-0.066055395,0.1947819,0.7764632,-0.44861045,0.12655784,0.24354139,0.63232017,-0.09738833,-0.020199493,0.64112663,-1.2490401,-0.005153549,0.76220214,-1.2973534,0.03163946,0.7308854,-1.1419199,-0.016513849,0.7186955,-1.1058842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1882253,-2.0460596,-0.9738833,-4.4861045,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.302097,4,2.3231880004459526,1.6690529992047232,2.246930000183056,0.139013,2.392055,10904626,0,1,0.0,0.0,0.0,-0.021443844,0.64573705,-1.3910758,0.031072184,0.6403014,-1.399101,-0.03928247,0.64431703,-1.4043295,0.03277284,0.65445995,-1.407568,-16.562231,-10.4743595,-6.9789705,6.330487,0.054257333,-0.038755238,0.0020220124,-0.07363495,0.011626571,-0.044484273,-0.05813286,-0.034879714,0.010110063,-0.046506286,0.05813286,-0.020220125,0.011626571,0.038755238,-0.027128667,0.038755238,1.0637461,1.311129,4.599259,-1.7069415,1.5585117,5.2156544,2.0780158,1.3853438,5.3104844,-1.6327267,0.74214846,5.689805,0.024738282,-0.024738282,0.024738282,-0.024738282,0.9996595,0.0022346072,0.007736704,0.024823453,-0.006391586,-0.0010652643,-0.0042610574,-0.12569559,-0.17836803,9.555259,0.0048523867,0.015357801,0.049690884,30.243389129638672,2.1876325607299805,0.0015306752,0.30243114,0.011362695,-0.30764547,-0.073838405,-0.1769462,0.123461656,0.073361054,-0.059451245,0.20091662,0.65181464,-0.51428276,0.099499926,0.22670487,0.4692125,-0.13299568,-0.018459601,0.6257635,-1.2691345,0.0003826688,0.7456078,-1.2971593,0.024874981,0.7266762,-1.1826968,-0.014862811,0.72022915,-1.1370463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7336105,-3.0764546,-1.3299568,-5.1428275,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.3220208,5,2.247313999760081,1.6052419996412937,2.171726999222301,0.139525,2.316948,10904646,0,1,0.0,0.0,0.0,-0.021474123,0.64573705,-1.3910443,0.031072184,0.6403014,-1.3990852,-0.03925219,0.6443473,-1.4043453,0.03280312,0.6544297,-1.4075838,-16.562231,-10.47439,-6.97891,6.330426,0.019377619,-0.03100419,0.020220125,-0.06200838,0.08526152,-0.018198112,-0.06200838,-0.05813286,-0.010110063,-0.034879714,0.05038181,-0.03437421,0.0038755238,0.0,0.05038181,-0.0038755238,1.0884844,1.311129,4.646674,-1.6327267,1.4842969,5.2630696,2.0780158,1.3606055,5.4053144,-1.6327267,0.7668867,5.689805,0.024738282,-0.024738282,0.024738282,0.0,0.99965715,0.002205785,0.0077404785,0.024916457,0.0,-0.003195793,0.006391586,-0.08020575,-0.16160862,9.527725,0.0047963723,0.015366334,0.04987654,30.243389129638672,2.1534507274627686,0.010476956,0.21676457,-0.050821766,-0.37738422,-0.086200595,-0.27149338,0.085987315,0.044825897,-0.05749321,0.20437479,0.5200887,-0.5747103,0.06151942,0.17095508,0.31282333,-0.20824774,-0.021550149,0.60212666,-1.2785032,0.002619239,0.7241912,-1.3127054,0.015379855,0.7127388,-1.2217941,-0.014373302,0.7210937,-1.1699778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44825897,-3.773842,-2.0824773,-5.747103,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.3432248,6,3.4415649988659425,1.7951689987967256,3.3510329994896892,2.147759,5.504616,10904664,0,1,0.0,0.0,0.0,-0.021474123,0.64576733,-1.3910443,0.031072184,0.64024085,-1.3990852,-0.03925219,0.64443815,-1.4043295,0.032863677,0.6543994,-1.4075838,-16.562262,-10.4743595,-6.9789705,6.3303957,0.046506286,0.011626571,0.010110063,-0.015502095,0.015502095,-0.0080880495,-0.015502095,0.0038755238,0.016176099,0.015502095,0.0,-0.020220125,-0.046506286,0.038755238,-0.12014124,-0.0077510476,1.0637461,1.2863907,4.504429,-1.6327267,1.5585117,5.2630696,2.1027539,1.4595586,5.4053144,-1.6079884,0.7668867,5.689805,0.049476564,0.0,0.074214846,0.0,0.9996545,0.0021988775,0.0077273794,0.0250275,-0.0053263213,0.008522115,0.009587379,-0.046686932,-0.21667525,9.569624,0.004783611,0.015339956,0.050098535,30.243389129638672,2.1192691326141357,0.0087344665,0.21959323,-0.055820495,-0.36432722,-0.08515718,-0.27691707,0.09853106,0.0381402,-0.057732582,0.20769678,0.5105723,-0.57574403,0.06251013,0.16907324,0.32066882,-0.20811427,-0.021289295,0.6007708,-1.2753671,0.0021836166,0.72489834,-1.3139551,0.015627533,0.71226835,-1.2198328,-0.0144331455,0.7219242,-1.1723568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38140202,-3.6432722,-2.0811427,-5.7574406,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.3620594,7,2.2102240000094753,1.6062340000644326,2.133230000254116,0.145637,2.283539,10904686,0,1,0.0,0.0,0.0,-0.021474123,0.64576733,-1.3910758,0.03110246,0.6402711,-1.3990693,-0.039221913,0.64440787,-1.4043137,0.032833397,0.6544297,-1.4075838,-16.562262,-10.47439,-6.9789705,6.3303957,0.038755238,-0.07363495,-0.022242136,0.0,0.015502095,-0.0080880495,-0.038755238,-0.034879714,0.0485283,-0.023253143,0.05813286,-0.03437421,-0.054257333,-0.011626571,-0.06200838,-0.054257333,1.0390079,1.2863907,4.694089,-1.6822032,1.4595586,5.2630696,2.1274922,1.3853438,5.3104844,-1.6327267,0.8411016,5.689805,0.024738282,-0.024738282,0.024738282,-0.024738282,0.99965566,0.0022120816,0.0077504762,0.02497146,-0.0010652643,0.003195793,-0.008522115,-0.108936176,-0.17836803,9.578004,0.004810309,0.015385744,0.049986742,30.243389129638672,2.1534507274627686,0.0068278294,0.22473085,-0.07140341,-0.36469024,-0.08743173,-0.26518038,0.110271,0.04068082,-0.051652737,0.19720541,0.52171314,-0.57797724,0.06484461,0.18017511,0.32784662,-0.20847954,-0.021857932,0.6037049,-1.2724322,0.0017069574,0.7261827,-1.3178508,0.016211152,0.7150438,-1.2180383,-0.012913184,0.71930134,-1.1695716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068082,-3.6469026,-2.0847955,-5.7797723,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.382611,8,2.587582001069677,1.7015339999488788,2.5144920000457205,0.167974,2.686722,10904706,0,1,0.0,0.0,0.0,-0.021443844,0.64576733,-1.39106,0.031072184,0.6403014,-1.3990852,-0.039221913,0.6443776,-1.4043453,0.03280312,0.6544297,-1.4075522,-16.562262,-10.47439,-6.9789705,6.3304563,0.038755238,0.011626571,0.010110063,-0.09301257,0.054257333,-0.020220125,0.019377619,0.046506286,-0.018198112,-0.038755238,-0.0038755238,0.018198112,-0.0038755238,-0.0077510476,-0.027128667,0.023253143,1.0637461,1.2616524,4.646674,-1.7069415,1.4842969,5.2630696,2.1027539,1.4100821,5.4053144,-1.6327267,0.7668867,5.64239,0.024738282,0.024738282,0.024738282,0.0,0.9996583,0.0022382364,0.007788797,0.024852883,-0.003195793,0.003195793,-0.0010652643,-0.16280572,-0.1328782,9.49301,0.0048626913,0.015461633,0.049750112,30.243389129638672,2.085087299346924,0.0050321165,0.21932566,-0.07673647,-0.37335065,-0.08863007,-0.26842347,0.09727473,0.043768436,-0.0501306,0.19229084,0.5246823,-0.5785656,0.06412183,0.18249123,0.31197673,-0.20949115,-0.022157518,0.6028941,-1.2756813,0.0012580291,0.72483146,-1.3191841,0.016030457,0.71562284,-1.2220057,-0.01253265,0.7180727,-1.1688294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43768436,-3.7335064,-2.0949116,-5.785656,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.4026098,9,2.607423000881681,1.670012999966275,2.5320280001324136,0.158598,2.69629,10904726,0,1,0.0,0.0,0.0,-0.021474123,0.6457068,-1.39106,0.031132739,0.6402711,-1.3990852,-0.03925219,0.6443473,-1.4043137,0.03280312,0.65445995,-1.4075522,-16.562262,-10.4743595,-6.9789705,6.3304563,-0.0038755238,-0.081386,-0.0040440247,0.038755238,0.019377619,-0.022242136,0.0,0.0077510476,0.042462263,0.0,0.077510476,0.022242136,-0.054257333,0.05813286,0.019377619,0.027128667,1.0637461,1.311129,4.599259,-1.6822032,1.5090352,5.2156544,2.1274922,1.3853438,5.4527297,-1.6822032,0.74214846,5.64239,0.024738282,0.0,0.0,-0.024738282,0.99965763,0.0022445202,0.007783694,0.024881104,-0.009587379,-0.006391586,0.019174758,-0.09696517,-0.046686932,9.532514,0.0048754388,0.015450981,0.04980664,30.243389129638672,2.1192691326141357,0.009698486,0.24056593,-0.055082105,-0.36501768,-0.083174445,-0.27406904,0.083069175,0.040035613,-0.060593,0.21691324,0.5168668,-0.5788055,0.058887757,0.16117401,0.33337852,-0.20371212,-0.020793611,0.60148275,-1.2792326,0.0024246215,0.7301415,-1.3137705,0.014721939,0.71029353,-1.2166554,-0.01514825,0.7242283,-1.1707833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4003561,-3.6501768,-2.0371213,-5.788055,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788529333.4221914,10,2.230416999736917,1.634299000215833,2.149710000594496,0.149222,2.30386,10904746,0,1,0.0,0.0,0.0,-0.021474123,0.6457976,-1.3910443,0.031072184,0.64024085,-1.3990852,-0.039221913,0.64440787,-1.4043295,0.032833397,0.6543994,-1.407568,-16.562262,-10.47439,-6.97891,6.330426,0.038755238,0.0077510476,0.020220125,-0.015502095,0.0,-0.016176099,-0.0077510476,-0.011626571,0.022242136,0.0,-0.011626571,-0.010110063,-0.038755238,-0.0077510476,0.034879714,0.0,1.0637461,1.311129,4.646674,-1.6822032,1.4595586,5.2156544,2.1027539,1.3853438,5.4053144,-1.6327267,0.791625,5.64239,0.024738282,-0.049476564,0.0,-0.024738282,0.9996547,0.0022570004,0.0077600894,0.025002193,0.0074568503,0.0042610574,0.0042610574,-0.073023155,-0.14724341,9.537302,0.004901082,0.0154025685,0.050048973,30.243389129638672,2.1192691326141357,0.004730085,0.24365628,-0.07609543,-0.37171304,-0.085075036,-0.27394766,0.10399085,0.036084406,-0.05511138,0.20647265,0.5148396,-0.5759636,0.065479495,0.17560814,0.33608696,-0.19931076,-0.021268759,0.6015131,-1.2740022,0.0011825212,0.7309141,-1.3190238,0.016369874,0.71390206,-1.2159783,-0.013777845,0.7216182,-1.17129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36084408,-3.7171304,-1.9931077,-5.759636,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
