time_s,loop,loop_dt_ms,inference_ms,state_tick,enabled,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788444679.5482543,1,16.913528999793925,7.819448999725864,9109979,1,0.0,0.0,0.0,-0.021080494,0.66641665,-1.385926,0.035311036,0.66600704,-1.3933351,-0.03888887,0.6500092,-1.3940457,0.033348143,0.6578207,-1.3909022,33.981228,30.7729,-38.226772,-14.544689,0.0077510476,-0.12789229,0.014154087,0.08913705,-0.0038755238,-0.016176099,0.0,-0.034879714,-0.10918867,0.0,0.027128667,-0.0970566,-0.038755238,-0.015502095,-0.046506286,0.05038181,-0.015052123,0.66712105,-1.2032416,-0.012880622,0.7767679,-1.2784472,0.03988649,0.74025,-1.0896811,-0.0263911,0.7192564,-1.0958295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7303318,-0.1264488,-0.04749449,-2.288331,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.580808,2,28.899484999783454,5.892812001548009,9110001,1,0.0,0.0,0.0,-0.021141052,0.66466045,-1.3859576,0.03525048,0.6641904,-1.3933508,-0.03900999,0.64946425,-1.3961151,0.033378422,0.6570941,-1.3925451,33.981228,30.7729,-38.226746,-14.544629,-0.065883905,-0.13176781,0.0020220124,-0.011626571,-0.09301257,-0.046506286,-0.06200838,-0.03100419,-0.10514465,-0.015502095,-0.03100419,-0.06672641,-0.034879714,0.011626571,-0.046506286,0.038755238,-0.0041830367,0.62978137,-1.2435831,-0.0005711331,0.7724557,-1.2913288,0.028059017,0.7193533,-1.1406085,-0.018697215,0.71455413,-1.1037989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4379544,-1.6219115,0.010143947,-3.6897974,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.609462,3,25.784365001527476,8.009956000023521,9110033,1,0.0,0.0,0.0,-0.021110773,0.6621474,-1.3859419,0.035220206,0.66113234,-1.3933351,-0.03888887,0.64767784,-1.3978212,0.033529818,0.6547022,-1.3942195,33.981167,30.7729,-38.226746,-14.544599,0.07363495,-0.11626572,0.026286162,0.034879714,-0.10463915,-0.012132075,-0.0038755238,-0.10851467,-0.03437421,-0.04263076,-0.05813286,-0.06268239,-0.12014124,0.034879714,-0.038755238,0.05813286,-0.011261513,0.6095612,-1.2457434,0.003438599,0.7709621,-1.3052075,0.028884353,0.7076375,-1.1877666,-0.0138784945,0.70287204,-1.1523066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.829308,-2.7630954,-0.8193697,-4.9203253,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.6486576,4,37.73361400089925,8.030436998524237,9110059,1,0.0,0.0,0.0,-0.021141052,0.6597253,-1.3859419,0.035189927,0.65849817,-1.3933192,-0.038858593,0.645952,-1.39869,0.033681214,0.65246165,-1.394883,33.981228,30.7729,-38.226772,-14.544629,-0.019377619,-0.12401676,0.020220125,0.03100419,-0.13564333,0.020220125,-0.023253143,-0.12014124,-0.064704396,0.0,-0.10463915,-0.018198112,0.0,0.04263076,-0.05813286,0.0,-0.009872006,0.6145973,-1.2562417,0.00885975,0.76223105,-1.3015536,0.028492268,0.7336357,-1.2013465,-0.007597398,0.698237,-1.1732049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6859963,-4.5173407,-0.6059904,-6.3420944,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.686159,5,35.44340499865939,12.675563000811962,9110099,1,0.0,0.0,0.0,-0.021141052,0.6556983,-1.3859419,0.035189927,0.65480435,-1.3933351,-0.03888887,0.64259124,-1.3998274,0.033650935,0.6494944,-1.3962258,33.981197,30.77287,-38.226746,-14.544629,-0.015502095,-0.162772,0.036396224,0.038755238,-0.054257333,-0.020220125,0.015502095,-0.096888095,-0.018198112,0.0,-0.038755238,-0.044484273,-0.03100419,-0.015502095,0.019377619,0.015502095,-0.026307544,0.6164461,-1.2586848,0.009392643,0.72880805,-1.300965,0.029647253,0.72085726,-1.2209525,0.004078512,0.69793814,-1.212255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7329195,-5.8175344,-0.98401994,-6.3017726,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.7164931,6,28.982625000935514,8.07629500013718,9110135,1,0.0,0.0,0.0,-0.021171331,0.65276146,-1.3859419,0.035159647,0.6521096,-1.3933351,-0.03897971,0.64044154,-1.4009806,0.033650935,0.6476475,-1.3979161,33.981197,30.7729,-38.226894,-14.544629,-0.05813286,-0.15502095,0.0020220124,0.0038755238,-0.015502095,0.0080880495,-0.054257333,-0.10076362,-0.0485283,0.011626571,0.015502095,-0.095034584,-0.034879714,0.05038181,-0.038755238,-0.019377619,-0.032246258,0.6342527,-1.2740042,0.0041514006,0.7044604,-1.2924479,0.044719025,0.73069924,-1.1900636,0.0055567827,0.6925285,-1.2409394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83989,-6.2387505,-1.5769422,-5.8548965,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.759836,7,39.928202000737656,11.93139199858706,9110167,1,0.0,0.0,0.0,-0.021080494,0.6507329,-1.3859576,0.03525048,0.6504141,-1.3933508,-0.039131075,0.6391396,-1.4024813,0.033560097,0.6471025,-1.4001908,33.981136,30.77287,-38.226894,-14.544629,0.038755238,-0.07363495,0.022242136,0.05813286,-0.034879714,-0.032352198,-0.015502095,-0.046506286,-0.0485283,-0.038755238,-0.027128667,-0.0970566,-0.11239019,0.0,-0.03100419,-0.0077510476,-0.034922235,0.63711524,-1.2673404,-0.0048367614,0.70594573,-1.3092893,0.04888154,0.73247045,-1.1644669,0.008213891,0.69288135,-1.2546431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7129142,-6.6166315,-1.9252545,-6.3195887,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.817242,8,56.272673999046674,21.982615000524675,9110207,1,0.0,0.0,0.0,-0.020989656,0.64873445,-1.385926,0.03525048,0.6487488,-1.3933508,-0.03928247,0.6386552,-1.4047245,0.033590376,0.64713275,-1.4030975,33.981167,30.77287,-38.226925,-14.544629,0.027128667,-0.09301257,0.020220125,-0.027128667,-0.05038181,-0.0080880495,-0.06975943,-0.0038755238,-0.05863836,-0.011626571,0.06975943,-0.08694653,-0.027128667,0.027128667,-0.038755238,0.034879714,-0.0353786,0.6342279,-1.2695158,-0.004953874,0.6978704,-1.3036919,0.048748806,0.7273731,-1.1814508,0.008572115,0.69320905,-1.2588878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3794427,-6.775507,-1.9349732,-6.688324,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.8962803,9,77.87993999954779,23.48740299930796,9110267,1,0.0,0.0,0.0,-0.020959377,0.6467664,-1.3859419,0.03528076,0.6467505,-1.3933508,-0.039403588,0.6375954,-1.4072835,0.033560097,0.6464667,-1.4053564,33.98111,30.77287,-38.226803,-14.544629,-0.0038755238,-0.09301257,0.010110063,0.019377619,0.019377619,0.0,-0.0077510476,-0.019377619,-0.036396224,-0.04263076,0.0,-0.05863836,-0.09301257,0.038755238,-0.011626571,-0.0077510476,-0.033866905,0.6295378,-1.2650913,-0.00446335,0.69874114,-1.3071109,0.04562942,0.72569144,-1.1889282,0.006544277,0.6938796,-1.2588441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9238281,-6.5563755,-2.1349647,-7.3564606,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444679.9630601,10,64.76601699978346,32.82031299931987,9110343,1,0.0,0.0,0.0,-0.021019936,0.64588845,-1.3859419,0.035220206,0.6455091,-1.3933508,-0.03931275,0.6376257,-1.4092582,0.033681214,0.6456189,-1.4063358,33.981136,30.772839,-38.226746,-14.544629,-0.015502095,-0.0038755238,0.03437421,0.046506286,-0.023253143,0.0020220124,0.03100419,-0.10076362,-0.04044025,0.034879714,0.04263076,-0.0020220124,0.0,0.0,-0.023253143,-0.011626571,-0.032904863,0.6183633,-1.2555139,-0.0003601755,0.69812536,-1.3093117,0.044340067,0.72725046,-1.2060236,0.006750675,0.6935554,-1.2502861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5905051,-6.5139866,-2.305737,-7.8999443,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
